model,AlloProfClusteringP2P,AlloProfClusteringS2S,AlloprofReranking,AlloprofRetrieval,AmazonReviewsClassification,BSARDRetrieval,DiaBLaBitextMining,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MTOPDomainClassification,MTOPIntentClassification,MasakhaNEWSClassification,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,MassiveIntentClassification,MassiveScenarioClassification,OpusparcusPC,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr,SyntecReranking,SyntecRetrieval
Geotrend/bert-base-10lang-cased,0.5321615105669343,0.429190297654638,0.3620967132921092,,0.29382,,0.01977057582485557,0.19938495489284905,0.40957277381713214,0.3186880455337019,0.6364860632633886,0.37870341371750704,,0.22697564542785026,0.19392863545607897,0.37283120376597184,0.4449562878278413,,0.5876409741522338,0.40314535808503765,,0.29055398239730224,0.5325,
Geotrend/bert-base-15lang-cased,0.5316174444700196,0.43426145509438163,0.36207173914137514,,0.2935,,0.01977057582485557,0.20259508953170258,0.41219725690080333,0.3188309116220031,0.6370184779204509,0.3785468211713123,,0.22756619075653814,0.19673173585312295,0.3728312037659718,0.4446872898453262,,0.5877261140633706,0.4039926511396135,,0.2913284671743393,0.5325,
Geotrend/bert-base-25lang-cased,0.5348707232890372,0.4310077911837933,0.36252102992208407,,0.29388000000000003,,0.01977057582485557,0.19777908487897675,0.4072820957884197,0.3193833137858634,0.636266833698716,0.3785781396805512,,0.2276048067723082,0.19505078849547572,0.37296570275722934,0.44468728984532613,,0.5875963417221689,0.387722409346517,,0.2884414777790376,0.5325,
Geotrend/distilbert-base-25lang-cased,0.5714285975098367,0.4348241240386942,0.32000766710449385,,0.28535999999999995,,0.009774828511780494,0.1861576116891369,0.4090788738384479,0.3126641649690648,0.6191356091450047,0.3534606952709051,,0.25292381106207545,0.21776158307311483,0.34952925353059855,0.4418291862811029,,0.6164041848098294,0.41353992712712145,,0.3070335729873741,0.5241666666666667,
Geotrend/distilbert-base-en-fr-cased,0.5665935732649282,0.4215320575444813,0.3209078159887816,,0.28511999999999993,,0.009687841733770752,0.1954334300029073,0.4071825511365696,0.314328804874776,0.6191982461634826,0.35358596930786096,,0.24862687298432293,0.23742505222733698,0.34788164088769336,0.44014794889038333,,0.6165632183808489,0.42180795673811294,,0.31226674511530683,0.5241666666666667,
Geotrend/distilbert-base-en-fr-es-pt-it-cased,0.5656571585750919,0.4348639521255671,0.3206529068436572,,0.2856,,0.00960085495576101,0.195516374988827,0.4091629743654286,0.3109946916708017,0.6192608831819605,0.3541497024741622,,0.2670243010523903,0.2155546385990898,0.3491257565568258,0.44166106254203097,,0.6164042836935036,0.41591567039779487,,0.3099238484208555,0.5241666666666667,
Geotrend/distilbert-base-fr-cased,0.5728722420376016,0.43001575930549957,0.3230694491734496,,0.28595999999999994,,0.008463813500347948,0.1960397251544971,0.40749445838316267,0.31410691237493943,0.6170685875352333,0.352740369558409,,0.2638464853080644,0.22454026587031506,0.3493275050437122,0.4378614660390047,,0.6168581678045449,0.4282484915255096,,0.3098048164787563,0.5191666666666668,
bert-base-multilingual-cased,0.5149653756008361,0.4305645671675891,0.36234654987990056,0.01874,0.29394,0.0,0.019820282555146854,0.20807556589755932,0.4090371994645377,0.3179683201467264,0.6361102411525212,0.3783589101158785,,0.22933953658563788,0.20304565787588974,0.3729993275050437,0.44465366509751175,,0.5874812845368886,0.3904525758557057,,0.28807795872171416,0.5325,0.13841
bert-base-multilingual-uncased,0.6066148200885675,0.3505397363641355,0.3884926710455013,0.05505,0.29024,0.0,0.03143122245418696,0.20898202989834286,0.4349522858689475,0.3098774275886452,0.644910742248669,0.39401816473535856,,0.33794678905851055,0.2183538216690671,0.38006052454606587,0.4363147276395427,,0.5826449144443914,0.5647457412587442,,0.3072334740467725,0.664,0.27484
camembert/camembert-base,0.5423893147384338,0.29188047065621736,0.24287090727704908,0.00419,0.29813999999999996,0.0,0.008788300541953988,0.13509527533156981,0.4060210180892428,0.2663399835756784,0.5839336047604134,0.28612590040714064,,0.24771437385870124,0.12567300139996368,0.30951580363147274,0.39485541358439813,,0.5368307592304911,0.6107432321823179,,0.29630716022029846,0.4126666666666667,0.04853
camembert/camembert-large,0.592712061687221,0.3424503121580777,0.3306899111278445,0.02401,0.31168,0.0,0.009724845632987594,0.18386648044522863,0.44082180384883013,0.351462769915096,0.6839336047604134,0.42496085186345134,,0.314684180075507,0.26178975123365295,0.36203765971755214,0.4633490248823134,,0.5880208439406661,0.5725762796846933,,0.27977116205095437,0.5105,0.13415
dangvantuan/sentence-camembert-base,0.5909203102484407,0.38916769144015195,0.48680908919487936,,0.36026,,0.13095291200719175,0.20215491786189138,0.3597635372718684,0.2705338909472246,0.7710303789539619,0.43438772314437835,,0.27303744198027025,0.1608827755313814,0.5159381304640215,0.6127774041694687,,0.7417817544381963,0.7753949779251178,,0.2877116932900191,0.7975,
dangvantuan/sentence-camembert-large,0.6268796577838202,0.4206075946482793,0.5761808536150032,0.32806,0.37970000000000004,0.0,0.42989253555537477,0.23903698224856657,0.420359585982358,0.3229405651242595,0.8573755089257752,0.5861572189163796,,0.47437348784858147,0.26790387619791,0.6265299260255548,0.6929051782111635,,0.7769676247221875,0.8172944501533574,,0.3088268637624669,0.8815000000000001,0.79442
distilbert-base-uncased,0.3654854742123225,0.2581130737375776,0.2395511773805056,,0.2541,,0.006693266140030231,0.12237086596593409,0.31949125831496394,0.24301233917873696,0.44036955840901976,0.20538678358910117,,0.15445471252395132,0.1185482758128203,0.2076664425016812,0.2808338937457969,,0.5546828187668631,0.15548658230931622,,0.31092622442837853,0.4636666666666666,0.06802
flaubert/flaubert_base_cased,0.5285934835529511,0.1444933095231007,0.34811162350816965,0.0174,0.24904,,0.005637072001810368,0.03854581426819014,0.3905601625969005,0.171305846850958,0.2554963983714375,0.09492640150328843,,0.27184197734996196,0.03942005375167697,0.06980497646267654,0.11405514458641561,,0.5386168675726091,0.6536672090843911,,0.312594655829165,0.5588333333333334,
flaubert/flaubert_base_uncased,0.4320222924608445,0.1293857445009916,0.34552272262578154,0.01945,0.23518,0.0,0.005139399763616882,0.01795603069453415,0.3322371189429822,0.14897560178696928,0.27741935483870966,0.08609458189790167,,0.1423484010011634,0.03547793198749143,0.06237390719569604,0.10981842636180228,,0.4190237966349758,0.5515047105823337,,0.2942790176376187,0.5718333333333334,0.17197
flaubert/flaubert_large_cased,0.4085073955515567,0.21755610303617196,0.26286066269644176,,0.22446000000000002,,0.005737123195369542,0.05262528089639844,0.3809040459534752,0.18712701309696092,0.24265580958346383,0.09790165988098966,,0.15753786001587863,0.05400860401659607,0.16412239408204438,0.22716879623402822,,0.34604282286371624,0.4852164892537546,,0.2924968054601468,0.42800000000000005,
intfloat/multilingual-e5-base,0.6208902532272975,0.3298420160973169,0.5810021239475974,,0.40944,,0.7450141388032829,0.22481518332434797,0.43477449026670206,0.38528561674473594,0.8478546821171312,0.5550892577513311,,0.41469670045700424,0.2878992928699836,0.6083389374579691,0.6648621385339609,,0.7622741775011176,0.7812983399916396,,0.3076006060850825,0.8543333333333334,
intfloat/multilingual-e5-large,0.6299441060729347,0.3226490465285985,0.5736910878781225,,0.41906,,0.7670246931990148,0.224385340783431,0.4403584780733176,0.3764790754795183,0.8640776699029127,0.5943000313185093,,0.37654972842827916,0.2897009236085679,0.6354741089441829,0.6814727639542704,,0.7877953920342992,0.7959570636221113,,0.30919609149507166,0.8689999999999999,
intfloat/multilingual-e5-small,0.6088563017856842,0.32521590908131975,0.5616883460889035,0.27823,0.39677999999999997,0.0,0.6919331625229329,0.18951467661299937,0.43198984816435415,0.3760912295232594,0.8119636705292829,0.46006890072032575,,0.43770447747762525,0.3368294068632095,0.5596839273705447,0.6141896435776732,,0.7561918985563969,0.7961730402830817,,0.31849046935173364,0.8669999999999999,0.74121
izhx/udever-bloom-1b1,0.6156865516596989,0.27056605660635213,,,0.35122000000000003,,0.011145905822315007,0.13863080092778088,0.44114631905302576,0.3046596247823246,0.6924209207641716,0.5124960851863452,,0.4477280615670335,0.2139691795010458,0.43211163416274373,0.4978143913920645,,0.5994249043712252,0.7710422175271007,,0.29477739086433014,,
izhx/udever-bloom-560m,0.5364830199572178,0.22130806495842745,,,0.26849999999999996,,0.009206251299153178,0.07676232398725595,0.3643378561194323,0.252602955617548,0.3498590667084247,0.15756341998120887,,0.19945424488643382,0.08196381524377111,0.1509078681909886,0.21674512441156693,,0.5454151151439361,0.6134778039151253,,0.236335996838468,0.5088333333333334,0.19361
sentence-transformers/LaBSE,0.5478373637265357,0.316037738871091,0.49509957364101576,0.19558,0.3852399999999999,0.0,0.8672794726798165,0.20619281081087668,0.4209325634914144,0.348364243914043,0.8413717507046664,0.6201064829314126,,0.42787068181163956,0.28238038005049615,0.6046738399462004,0.6510423671822462,,0.699399693283394,0.779542837388368,,0.30163745632848504,0.7328333333333332,0.5006
sentence-transformers/all-MiniLM-L12-v2,0.4602594872664162,0.3182943689925971,0.45734777782104724,,0.27540000000000003,,0.02090872187427511,0.19579515289877036,0.34352183238407863,0.2929559187477989,0.7559348575007829,0.3893830253679925,,0.2683740719058668,0.20779393919527686,0.4481506388702085,0.537626092804304,,0.6316238159087848,0.6951402658537921,,0.26628635658682365,0.6833333333333335,
sentence-transformers/all-MiniLM-L6-v2,0.5183078853752063,0.3206588333216591,0.3169263945167622,,0.26898000000000005,,0.012903038738111805,0.18840803542133214,0.36735755994436425,0.28117905509113844,0.7508299404948324,0.39652364547447544,,0.32580458929291367,0.2174540495225184,0.4263954270342972,0.5115669132481506,,0.6248225654609475,0.7700398643056744,,0.28281807578154883,0.5956666666666667,0.57306
sentence-transformers/distiluse-base-multilingual-cased-v2,0.5595373948625354,0.3538541904887588,0.5177355262516891,,0.35764,,0.8264188510013144,0.18200925239366011,0.40170450787341194,0.3464793188683687,0.8498277481991858,0.5610710930159725,,0.4087161293436307,0.24530359847651578,0.598285137861466,0.6738735709482178,,0.7249442911000451,0.7641254265129491,,0.28121115462556573,0.7478333333333331,
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,0.49131945955421763,0.2615924058641751,0.40279708557907973,0.31134,0.27046000000000003,0.0,0.025866001701074764,0.12491384159358596,0.3514684027308759,0.2595314882250714,0.7296899467585343,0.3718446601941748,,0.3522819591205593,0.17817051028324735,0.42642905178211166,0.49922663080026897,,0.6210588256655486,0.74618828792621,,0.27590643209882243,0.6508333333333334,0.57153
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5606489195760765,0.4215818771542176,0.4900817277127068,,0.36758,,0.755734499784604,0.2320666181560827,0.39971528026775527,0.36548202790967554,0.7769808957093642,0.47936110241152524,,0.3291808540835628,0.2742146292893042,0.5751513113651648,0.6451916610625421,,0.75102380757868,0.7054517669493489,,0.2919931043966207,0.7503333333333333,
sentence-transformers/sentence-t5-base,0.5844150763298186,0.35933547162769447,,,0.3735,,0.24065143180487647,0.17717096553577377,0.4076920517896694,0.3006026181192261,0.7502975258377701,0.4384591293454432,,0.5392106599890245,0.2830438938491224,0.5113315400134499,0.5991930060524545,,0.7173634724227647,0.7768846630995027,,0.30009114233509354,,
sentence-transformers/sentence-t5-large,0.6182277140780882,0.39775682340645013,,,0.41479999999999995,,0.391589068937712,0.18732355867074946,0.42072611116586583,0.31869403282717373,0.795959912308174,0.47729408080175384,,0.5548362649714498,0.26341168870928305,0.5701412239408203,0.6360121049092132,,0.7282743267188198,0.750086943549879,,0.30227656374127543,,
sentence-transformers/sentence-t5-xl,0.6037247542497267,0.40760351804017364,,,0.43516000000000005,,0.4821591499044526,0.2027889302653955,0.41610054911146016,0.3360365488455902,0.8514249921703726,0.5439085499530223,,0.5362316418384276,0.29564078495920165,0.6098520511096167,0.6641560188298588,,0.7508041932935345,0.7749353352876681,,0.31593902286506226,,
sentence-transformers/sentence-t5-xxl,0.6097713304012906,0.43500242339047224,,,0.46088000000000007,,0.6862094325298919,,,,0.8620106482931412,0.5833385530848731,,,,0.6590786819098857,0.6853059852051111,,0.7706782664515456,0.7680240821366182,,0.3039226775800043,,
shibing624/text2vec-base-multilingual,0.49107425021732654,0.3272237759178746,0.5148170958763292,,0.34254,,0.7584395124322055,0.16190705833804359,0.3619042628585186,0.303885451410444,0.7182586908863138,0.4453492013780145,,0.3193050164392256,0.1937935361736592,0.5193006052454606,0.5830867518493612,,0.7724805746003676,0.7409937723367189,,0.2933489058303607,0.7028333333333333,
text-embedding-ada-002,,,,0.52485,,,,,,,,,,,,,,,,,,,0.8986666666666667,0.85037
voyage-01,,,,0.47234,,,,,,,,,,,,,,,,,,,,0.79577
voyage-02,,,0.5731873626616444,0.38685,0.35725999999999997,,,,,,0.8020357031005325,0.48077043532727837,,,,0.5396435776731674,0.6296906523201076,,,,,,0.7921666666666667,0.67673
voyage-lite-01,,,,0.48541,,,,,,,,,,,,,,,,,,,,0.68891
vprelovac/universal-sentence-encoder-multilingual-3,0.5689916720736953,0.37839369106222703,0.5622529766312828,0.35245,0.33514000000000005,0.0,0.7690854301501483,0.1894729944719849,0.4389692922750733,0.35501449069126906,0.8549639837143752,0.5398371437519573,,0.5087736644872866,0.38153216246694094,0.6119031607262946,0.7021856086079354,,0.7137136565612174,0.779121959792631,,0.28212107619806726,0.7384999999999999,0.68151
xlm-roberta-base,0.5224409381186116,0.2037478764202963,0.2558105711116885,0.00177,0.26747999999999994,0.0,0.017952564716656575,0.08678029981035876,0.40442984625072675,0.24142718145431868,0.43830253679924835,0.1937676166614469,,0.22500036411563312,0.07006583885055262,0.13581035642232683,0.23214525891055815,,0.4861539023272589,0.5672433175176572,,0.2914448969497285,0.43750000000000006,0.00431
xlm-roberta-large,0.5653605568863168,0.21184767038673877,0.28615167458747864,0.00737,0.26616,0.0,0.01008604787310424,0.059433456757291406,0.4267404394453324,0.18501284069791263,0.367710616974632,0.1537112433448168,,0.2695782699802628,0.05671038621087049,0.1582044384667115,0.23920645595158038,,0.5001340631306734,0.5549160342530441,,0.28894306279406234,0.49400000000000005,0.06266
