model,Geotrend/bert-base-10lang-cased,Geotrend/bert-base-15lang-cased,Geotrend/bert-base-25lang-cased,Geotrend/distilbert-base-25lang-cased,Geotrend/distilbert-base-en-fr-cased,Geotrend/distilbert-base-en-fr-es-pt-it-cased,Geotrend/distilbert-base-fr-cased,bert-base-multilingual-cased,bert-base-multilingual-uncased,camembert/camembert-base,camembert/camembert-large,dangvantuan/sentence-camembert-base,dangvantuan/sentence-camembert-large,distilbert-base-uncased,flaubert/flaubert_base_cased,flaubert/flaubert_base_uncased,flaubert/flaubert_large_cased,intfloat/multilingual-e5-base,intfloat/multilingual-e5-large,intfloat/multilingual-e5-small,izhx/udever-bloom-1b1,izhx/udever-bloom-560m,sentence-transformers/LaBSE,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/distiluse-base-multilingual-cased-v2,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/sentence-t5-base,sentence-transformers/sentence-t5-large,sentence-transformers/sentence-t5-xl,sentence-transformers/sentence-t5-xxl,shibing624/text2vec-base-multilingual,text-embedding-ada-002,voyage-01,voyage-02,voyage-lite-01,vprelovac/universal-sentence-encoder-multilingual-3,xlm-roberta-base,xlm-roberta-large
Geotrend/bert-base-10lang-cased,1.0,1.0,0.9979360165118679,0.9917440660474717,0.9876160990712074,0.9917440660474717,0.9917440660474717,1.0,0.9318885448916409,0.8431372549019608,0.9318885448916409,0.8699690402476781,0.7770897832817337,0.8369453044375645,0.5830753353973168,0.6202270381836945,0.6945304437564499,0.6491228070175439,0.6449948400412797,0.6016511867905057,0.7617647058823529,0.7303921568627451,0.49019607843137253,0.8947368421052632,0.8658410732714138,0.5356037151702786,0.7977296181630547,0.628482972136223,0.7764705882352941,0.7735294117647059,0.6794117647058824,0.5181818181818182,0.5624355005159959,,,0.8571428571428571,,0.5314757481940144,0.6965944272445821,0.6862745098039216
Geotrend/bert-base-15lang-cased,1.0,1.0,0.9979360165118679,0.9917440660474717,0.9876160990712074,0.9917440660474717,0.9917440660474717,1.0,0.9318885448916409,0.8431372549019608,0.9318885448916409,0.8699690402476781,0.7770897832817337,0.8369453044375645,0.5830753353973168,0.6202270381836945,0.6945304437564499,0.6491228070175439,0.6449948400412797,0.6016511867905057,0.7617647058823529,0.7303921568627451,0.49019607843137253,0.8947368421052632,0.8658410732714138,0.5356037151702786,0.7977296181630547,0.628482972136223,0.7764705882352941,0.7735294117647059,0.6794117647058824,0.5181818181818182,0.5624355005159959,,,0.8571428571428571,,0.5314757481940144,0.6965944272445821,0.6862745098039216
Geotrend/bert-base-25lang-cased,0.9979360165118679,0.9979360165118679,1.0,0.9938080495356038,0.9896800825593395,0.9938080495356038,0.9938080495356038,0.9979360165118679,0.9277605779153767,0.847265221878225,0.9380804953560371,0.8596491228070176,0.7667698658410733,0.8328173374613003,0.5789473684210527,0.6160990712074303,0.6924664602683178,0.6367389060887513,0.630546955624355,0.5892672858617131,0.7617647058823529,0.7328431372549019,0.47987616099071206,0.8885448916408669,0.8637770897832817,0.5252837977296182,0.7915376676986584,0.6202270381836945,0.7764705882352941,0.7735294117647059,0.6794117647058824,0.5181818181818182,0.5541795665634675,,,0.8571428571428571,,0.5232198142414861,0.7027863777089783,0.6924664602683178
Geotrend/distilbert-base-25lang-cased,0.9917440660474717,0.9917440660474717,0.9938080495356038,1.0,0.9979360165118679,1.0,1.0,0.9917440660474717,0.936016511867905,0.8534571723426213,0.9442724458204335,0.8740970072239422,0.7853457172342622,0.8183694530443757,0.5954592363261094,0.630546955624355,0.7089783281733746,0.6491228070175439,0.6408668730650154,0.6057791537667698,0.7794117647058824,0.7401960784313726,0.49432404540763675,0.9029927760577915,0.8864809081527347,0.5397316821465429,0.8163054695562435,0.630546955624355,0.7970588235294118,0.7852941176470588,0.6970588235294117,0.5,0.564499484004128,,,0.8571428571428571,,0.5521155830753354,0.7131062951496389,0.7027863777089783
Geotrend/distilbert-base-en-fr-cased,0.9876160990712074,0.9876160990712074,0.9896800825593395,0.9979360165118679,1.0,0.9979360165118679,0.9979360165118679,0.9876160990712074,0.9484004127966976,0.8740970072239422,0.9587203302373581,0.890608875128999,0.803921568627451,0.8059855521155831,0.6181630546955624,0.651186790505676,0.7296181630546955,0.673890608875129,0.6656346749226006,0.6326109391124871,0.8147058823529412,0.7622549019607843,0.5190918472652218,0.9215686274509803,0.9071207430340558,0.5624355005159959,0.8431372549019608,0.6429308565531475,0.8264705882352941,0.8117647058823529,0.7264705882352941,0.5636363636363636,0.5851393188854489,,,0.8571428571428571,,0.5768833849329206,0.737874097007224,0.7234262125902993
Geotrend/distilbert-base-en-fr-es-pt-it-cased,0.9917440660474717,0.9917440660474717,0.9938080495356038,1.0,0.9979360165118679,1.0,1.0,0.9917440660474717,0.936016511867905,0.8534571723426213,0.9442724458204335,0.8740970072239422,0.7853457172342622,0.8183694530443757,0.5954592363261094,0.630546955624355,0.7089783281733746,0.6491228070175439,0.6408668730650154,0.6057791537667698,0.7794117647058824,0.7401960784313726,0.49432404540763675,0.9029927760577915,0.8864809081527347,0.5397316821465429,0.8163054695562435,0.630546955624355,0.7970588235294118,0.7852941176470588,0.6970588235294117,0.5,0.564499484004128,,,0.8571428571428571,,0.5521155830753354,0.7131062951496389,0.7027863777089783
Geotrend/distilbert-base-fr-cased,0.9917440660474717,0.9917440660474717,0.9938080495356038,1.0,0.9979360165118679,1.0,1.0,0.9917440660474717,0.936016511867905,0.8534571723426213,0.9442724458204335,0.8740970072239422,0.7853457172342622,0.8183694530443757,0.5954592363261094,0.630546955624355,0.7089783281733746,0.6491228070175439,0.6408668730650154,0.6057791537667698,0.7794117647058824,0.7401960784313726,0.49432404540763675,0.9029927760577915,0.8864809081527347,0.5397316821465429,0.8163054695562435,0.630546955624355,0.7970588235294118,0.7852941176470588,0.6970588235294117,0.5,0.564499484004128,,,0.8571428571428571,,0.5521155830753354,0.7131062951496389,0.7027863777089783
bert-base-multilingual-cased,1.0,1.0,0.9979360165118679,0.9917440660474717,0.9876160990712074,0.9917440660474717,0.9917440660474717,1.0,0.951948051948052,0.9012987012987013,0.9558441558441558,0.8699690402476781,0.6792207792207792,0.8614035087719298,0.643859649122807,0.6844155844155844,0.6945304437564499,0.6491228070175439,0.6449948400412797,0.6038961038961039,0.7617647058823529,0.7358101135190919,0.5896103896103896,0.8947368421052632,0.7192982456140351,0.5356037151702786,0.6935064935064935,0.628482972136223,0.7764705882352941,0.7735294117647059,0.6794117647058824,0.5181818181818182,0.5624355005159959,1.0,1.0,0.65,1.0,0.5558441558441558,0.8077922077922078,0.7987012987012987
bert-base-multilingual-uncased,0.9318885448916409,0.9318885448916409,0.9277605779153767,0.936016511867905,0.9484004127966976,0.936016511867905,0.936016511867905,0.951948051948052,1.0,0.8987012987012987,0.9688311688311688,0.913312693498452,0.7805194805194805,0.7666666666666667,0.7491228070175439,0.7779220779220779,0.7647058823529411,0.7523219814241486,0.7337461300309598,0.7051948051948052,0.9176470588235294,0.760577915376677,0.6532467532467533,0.9463364293085655,0.8298245614035088,0.6222910216718266,0.8246753246753247,0.6388028895768834,0.9058823529411765,0.888235294117647,0.8,0.5909090909090909,0.6057791537667698,1.0,1.0,0.65,1.0,0.6415584415584416,0.8350649350649351,0.8558441558441559
camembert/camembert-base,0.8431372549019608,0.8431372549019608,0.847265221878225,0.8534571723426213,0.8740970072239422,0.8534571723426213,0.8534571723426213,0.9012987012987013,0.8987012987012987,1.0,0.9324675324675324,0.8513931888544891,0.6454545454545455,0.7736842105263158,0.7491228070175439,0.7571428571428571,0.8224974200206399,0.6408668730650154,0.6470588235294118,0.5948051948051948,0.8382352941176471,0.849329205366357,0.5857142857142857,0.8431372549019608,0.743859649122807,0.5294117647058824,0.7220779220779221,0.5500515995872033,0.8382352941176471,0.8176470588235294,0.7294117647058823,0.5818181818181818,0.5397316821465429,1.0,1.0,0.5666666666666667,1.0,0.5337662337662338,0.9090909090909091,0.8857142857142857
camembert/camembert-large,0.9318885448916409,0.9318885448916409,0.9380804953560371,0.9442724458204335,0.9587203302373581,0.9442724458204335,0.9442724458204335,0.9558441558441558,0.9688311688311688,0.9324675324675324,1.0,0.8658410732714138,0.7038961038961039,0.7526315789473684,0.6894736842105263,0.7090909090909091,0.7089783281733746,0.7110423116615067,0.7027863777089783,0.638961038961039,0.9176470588235294,0.7708978328173375,0.6207792207792208,0.9298245614035088,0.7842105263157895,0.6016511867905057,0.7584415584415585,0.628482972136223,0.8941176470588236,0.8764705882352941,0.7941176470588235,0.6090909090909091,0.5913312693498453,1.0,1.0,0.65,1.0,0.5974025974025974,0.8454545454545455,0.8272727272727273
dangvantuan/sentence-camembert-base,0.8699690402476781,0.8699690402476781,0.8596491228070176,0.8740970072239422,0.890608875128999,0.8740970072239422,0.8740970072239422,0.8699690402476781,0.913312693498452,0.8513931888544891,0.8658410732714138,1.0,0.9009287925696594,0.6449948400412797,0.6449948400412797,0.6780185758513931,0.739938080495356,0.7688338493292054,0.7708978328173375,0.739938080495356,0.8764705882352941,0.7107843137254902,0.6160990712074303,0.9649122807017544,0.9215686274509803,0.6615067079463365,0.9525283797729618,0.6842105263157895,0.9117647058823529,0.9,0.8529411764705882,0.7,0.6718266253869969,,,0.9285714285714286,,0.6573787409700722,0.7110423116615067,0.7069143446852425
dangvantuan/sentence-camembert-large,0.7770897832817337,0.7770897832817337,0.7667698658410733,0.7853457172342622,0.803921568627451,0.7853457172342622,0.7853457172342622,0.6792207792207792,0.7805194805194805,0.6454545454545455,0.7038961038961039,0.9009287925696594,1.0,0.34035087719298246,0.5421052631578948,0.6038961038961039,0.5562435500515995,0.936016511867905,0.9277605779153767,0.9415584415584416,0.8441176470588235,0.47987616099071206,0.8636363636363636,0.8968008255933952,0.9052631578947369,0.8864809081527347,0.9246753246753247,0.8617131062951496,0.9176470588235294,0.9705882352941176,0.9852941176470589,0.8818181818181818,0.8452012383900929,1.0,1.0,0.9166666666666666,1.0,0.9012987012987013,0.5233766233766234,0.5883116883116883
distilbert-base-uncased,0.8369453044375645,0.8369453044375645,0.8328173374613003,0.8183694530443757,0.8059855521155831,0.8183694530443757,0.8183694530443757,0.8614035087719298,0.7666666666666667,0.7736842105263158,0.7526315789473684,0.6449948400412797,0.34035087719298246,1.0,0.6388028895768834,0.6578947368421053,0.737874097007224,0.4117647058823529,0.40350877192982454,0.24912280701754386,0.538235294117647,0.7523219814241486,0.18771929824561404,0.6367389060887513,0.48596491228070177,0.2528379772961816,0.45964912280701753,0.3828689370485036,0.5235294117647059,0.5058823529411764,0.3941176470588235,0.13636363636363635,0.32301341589267285,1.0,,0.47619047619047616,,0.14385964912280702,0.775438596491228,0.7614035087719299
flaubert/flaubert_base_cased,0.5830753353973168,0.5830753353973168,0.5789473684210527,0.5954592363261094,0.6181630546955624,0.5954592363261094,0.5954592363261094,0.643859649122807,0.7491228070175439,0.7491228070175439,0.6894736842105263,0.6449948400412797,0.5421052631578948,0.6388028895768834,1.0,0.9824561403508771,0.9298245614035088,0.46542827657378744,0.42208462332301344,0.5070175438596491,0.7029411764705882,0.9338235294117647,0.34912280701754383,0.6429308565531475,0.6594427244582043,0.28586171310629516,0.6701754385964912,0.2837977296181631,0.6529411764705882,0.5558823529411765,0.42058823529411765,0.19090909090909092,0.347781217750258,1.0,,0.5952380952380952,,0.34385964912280703,0.9315789473684211,0.9631578947368421
flaubert/flaubert_base_uncased,0.6202270381836945,0.6202270381836945,0.6160990712074303,0.630546955624355,0.651186790505676,0.630546955624355,0.630546955624355,0.6844155844155844,0.7779220779220779,0.7571428571428571,0.7090909090909091,0.6780185758513931,0.6038961038961039,0.6578947368421053,0.9824561403508771,1.0,0.9504643962848297,0.48194014447884415,0.44272445820433437,0.5909090909090909,0.7,0.9442724458204335,0.43116883116883115,0.675954592363261,0.6263157894736842,0.28792569659442724,0.7116883116883117,0.31682146542827655,0.6294117647058823,0.5411764705882353,0.4117647058823529,0.14545454545454545,0.3560371517027864,1.0,1.0,0.5666666666666667,1.0,0.43116883116883115,0.8948051948051948,0.9337662337662338
flaubert/flaubert_large_cased,0.6945304437564499,0.6945304437564499,0.6924664602683178,0.7089783281733746,0.7296181630546955,0.7089783281733746,0.7089783281733746,0.6945304437564499,0.7647058823529411,0.8224974200206399,0.7089783281733746,0.739938080495356,0.5562435500515995,0.737874097007224,0.9298245614035088,0.9504643962848297,1.0,0.5108359133126935,0.48194014447884415,0.4716202270381837,0.6970588235294117,0.9362745098039216,0.2982456140350877,0.7275541795665634,0.7048503611971104,0.32507739938080493,0.7275541795665634,0.37254901960784315,0.6676470588235294,0.6,0.47352941176470587,0.24545454545454545,0.4055727554179567,,,0.7142857142857143,,0.34365325077399383,0.9318885448916409,0.9442724458204335
intfloat/multilingual-e5-base,0.6491228070175439,0.6491228070175439,0.6367389060887513,0.6491228070175439,0.673890608875129,0.6491228070175439,0.6491228070175439,0.6491228070175439,0.7523219814241486,0.6408668730650154,0.7110423116615067,0.7688338493292054,0.936016511867905,0.4117647058823529,0.46542827657378744,0.48194014447884415,0.5108359133126935,1.0,0.9938080495356038,0.9896800825593395,0.7235294117647059,0.5098039215686274,0.9566563467492261,0.7832817337461301,0.7523219814241486,0.9649122807017544,0.7874097007223942,0.9463364293085655,0.7823529411764706,0.8794117647058823,0.9382352941176471,0.9818181818181818,0.9442724458204335,,,0.9285714285714286,,0.9504643962848297,0.5211558307533539,0.5170278637770898
intfloat/multilingual-e5-large,0.6449948400412797,0.6449948400412797,0.630546955624355,0.6408668730650154,0.6656346749226006,0.6408668730650154,0.6408668730650154,0.6449948400412797,0.7337461300309598,0.6470588235294118,0.7027863777089783,0.7708978328173375,0.9277605779153767,0.40350877192982454,0.42208462332301344,0.44272445820433437,0.48194014447884415,0.9938080495356038,1.0,0.977296181630547,0.6970588235294117,0.4950980392156863,0.9607843137254902,0.7770897832817337,0.7461300309597523,0.9690402476780186,0.7770897832817337,0.9504643962848297,0.7647058823529411,0.8676470588235294,0.9352941176470588,0.990909090909091,0.9484004127966976,,,0.8571428571428571,,0.9401444788441693,0.49226006191950467,0.47368421052631576
intfloat/multilingual-e5-small,0.6016511867905057,0.6016511867905057,0.5892672858617131,0.6057791537667698,0.6326109391124871,0.6057791537667698,0.6057791537667698,0.6038961038961039,0.7051948051948052,0.5948051948051948,0.638961038961039,0.739938080495356,0.9415584415584416,0.24912280701754386,0.5070175438596491,0.5909090909090909,0.4716202270381837,0.9896800825593395,0.977296181630547,1.0,0.7176470588235294,0.4241486068111455,0.938961038961039,0.7647058823529411,0.7649122807017544,0.9525283797729618,0.8207792207792208,0.9215686274509803,0.7794117647058824,0.8705882352941177,0.9352941176470588,0.9818181818181818,0.9256965944272446,1.0,1.0,0.9666666666666667,1.0,0.9597402597402598,0.535064935064935,0.5662337662337662
izhx/udever-bloom-1b1,0.7617647058823529,0.7617647058823529,0.7617647058823529,0.7794117647058824,0.8147058823529412,0.7794117647058824,0.7794117647058824,0.7617647058823529,0.9176470588235294,0.8382352941176471,0.9176470588235294,0.8764705882352941,0.8441176470588235,0.538235294117647,0.7029411764705882,0.7,0.6970588235294117,0.7235294117647059,0.6970588235294117,0.7176470588235294,1.0,0.7205882352941176,0.5941176470588235,0.9,0.9411764705882353,0.6176470588235294,0.95,0.55,0.9529411764705882,0.9117647058823529,0.8441176470588235,0.5909090909090909,0.5764705882352941,,,0.7,,0.6264705882352941,0.7676470588235295,0.7588235294117647
izhx/udever-bloom-560m,0.7303921568627451,0.7303921568627451,0.7328431372549019,0.7401960784313726,0.7622549019607843,0.7401960784313726,0.7401960784313726,0.7358101135190919,0.760577915376677,0.849329205366357,0.7708978328173375,0.7107843137254902,0.47987616099071206,0.7523219814241486,0.9338235294117647,0.9442724458204335,0.9362745098039216,0.5098039215686274,0.4950980392156863,0.4241486068111455,0.7205882352941176,1.0,0.29411764705882354,0.7230392156862745,0.6635706914344686,0.33088235294117646,0.6388028895768834,0.375,0.6705882352941176,0.5970588235294118,0.47352941176470587,0.3,0.42401960784313725,1.0,,0.5357142857142857,,0.28586171310629516,0.9463364293085655,0.9401444788441693
sentence-transformers/LaBSE,0.49019607843137253,0.49019607843137253,0.47987616099071206,0.49432404540763675,0.5190918472652218,0.49432404540763675,0.49432404540763675,0.5896103896103896,0.6532467532467533,0.5857142857142857,0.6207792207792208,0.6160990712074303,0.8636363636363636,0.18771929824561404,0.34912280701754383,0.43116883116883115,0.2982456140350877,0.9566563467492261,0.9607843137254902,0.938961038961039,0.5941176470588235,0.29411764705882354,1.0,0.6367389060887513,0.6350877192982456,0.9938080495356038,0.6922077922077922,0.9442724458204335,0.6588235294117647,0.7794117647058824,0.8794117647058823,0.9090909090909091,0.9463364293085655,1.0,1.0,0.7833333333333333,1.0,0.948051948051948,0.4883116883116883,0.4857142857142857
sentence-transformers/all-MiniLM-L12-v2,0.8947368421052632,0.8947368421052632,0.8885448916408669,0.9029927760577915,0.9215686274509803,0.9029927760577915,0.9029927760577915,0.8947368421052632,0.9463364293085655,0.8431372549019608,0.9298245614035088,0.9649122807017544,0.8968008255933952,0.6367389060887513,0.6429308565531475,0.675954592363261,0.7275541795665634,0.7832817337461301,0.7770897832817337,0.7647058823529411,0.9,0.7230392156862745,0.6367389060887513,1.0,0.936016511867905,0.675954592363261,0.9504643962848297,0.7007223942208463,0.9235294117647059,0.9117647058823529,0.8558823529411764,0.7181818181818181,0.6800825593395253,,,1.0,,0.6986584107327142,0.7275541795665634,0.7027863777089783
sentence-transformers/all-MiniLM-L6-v2,0.8658410732714138,0.8658410732714138,0.8637770897832817,0.8864809081527347,0.9071207430340558,0.8864809081527347,0.8864809081527347,0.7192982456140351,0.8298245614035088,0.743859649122807,0.7842105263157895,0.9215686274509803,0.9052631578947369,0.48596491228070177,0.6594427244582043,0.6263157894736842,0.7048503611971104,0.7523219814241486,0.7461300309597523,0.7649122807017544,0.9411764705882353,0.6635706914344686,0.6350877192982456,0.936016511867905,1.0,0.6697626418988648,0.9649122807017544,0.6449948400412797,0.9558823529411765,0.9294117647058824,0.8647058823529412,0.6636363636363637,0.6388028895768834,1.0,,0.9285714285714286,,0.7052631578947368,0.5754385964912281,0.6526315789473685
sentence-transformers/distiluse-base-multilingual-cased-v2,0.5356037151702786,0.5356037151702786,0.5252837977296182,0.5397316821465429,0.5624355005159959,0.5397316821465429,0.5397316821465429,0.5356037151702786,0.6222910216718266,0.5294117647058824,0.6016511867905057,0.6615067079463365,0.8864809081527347,0.2528379772961816,0.28586171310629516,0.28792569659442724,0.32507739938080493,0.9649122807017544,0.9690402476780186,0.9525283797729618,0.6176470588235294,0.33088235294117646,0.9938080495356038,0.675954592363261,0.6697626418988648,1.0,0.6924664602683178,0.9587203302373581,0.7029411764705882,0.8235294117647058,0.9117647058823529,0.9545454545454546,0.9525283797729618,,,0.8928571428571429,,0.9649122807017544,0.35810113519091846,0.347781217750258
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,0.7977296181630547,0.7977296181630547,0.7915376676986584,0.8163054695562435,0.8431372549019608,0.8163054695562435,0.8163054695562435,0.6935064935064935,0.8246753246753247,0.7220779220779221,0.7584415584415585,0.9525283797729618,0.9246753246753247,0.45964912280701753,0.6701754385964912,0.7116883116883117,0.7275541795665634,0.7874097007223942,0.7770897832817337,0.8207792207792208,0.95,0.6388028895768834,0.6922077922077922,0.9504643962848297,0.9649122807017544,0.6924664602683178,1.0,0.653250773993808,0.9705882352941176,0.9411764705882353,0.888235294117647,0.6818181818181818,0.6656346749226006,1.0,1.0,0.9833333333333333,1.0,0.7571428571428571,0.625974025974026,0.6909090909090909
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.628482972136223,0.628482972136223,0.6202270381836945,0.630546955624355,0.6429308565531475,0.630546955624355,0.630546955624355,0.628482972136223,0.6388028895768834,0.5500515995872033,0.628482972136223,0.6842105263157895,0.8617131062951496,0.3828689370485036,0.2837977296181631,0.31682146542827655,0.37254901960784315,0.9463364293085655,0.9504643962848297,0.9215686274509803,0.55,0.375,0.9442724458204335,0.7007223942208463,0.6449948400412797,0.9587203302373581,0.653250773993808,1.0,0.6441176470588236,0.7764705882352941,0.861764705882353,0.9636363636363636,0.9711042311661506,,,0.9642857142857143,,0.9318885448916409,0.3828689370485036,0.36016511867905054
sentence-transformers/sentence-t5-base,0.7764705882352941,0.7764705882352941,0.7764705882352941,0.7970588235294118,0.8264705882352941,0.7970588235294118,0.7970588235294118,0.7764705882352941,0.9058823529411765,0.8382352941176471,0.8941176470588236,0.9117647058823529,0.9176470588235294,0.5235294117647059,0.6529411764705882,0.6294117647058823,0.6676470588235294,0.7823529411764706,0.7647058823529411,0.7794117647058824,0.9529411764705882,0.6705882352941176,0.6588235294117647,0.9235294117647059,0.9558823529411765,0.7029411764705882,0.9705882352941176,0.6441176470588236,1.0,0.9764705882352941,0.9176470588235294,0.7090909090909091,0.6676470588235294,,,1.0,,0.7147058823529412,0.7029411764705882,0.7235294117647059
sentence-transformers/sentence-t5-large,0.7735294117647059,0.7735294117647059,0.7735294117647059,0.7852941176470588,0.8117647058823529,0.7852941176470588,0.7852941176470588,0.7735294117647059,0.888235294117647,0.8176470588235294,0.8764705882352941,0.9,0.9705882352941176,0.5058823529411764,0.5558823529411765,0.5411764705882353,0.6,0.8794117647058823,0.8676470588235294,0.8705882352941177,0.9117647058823529,0.5970588235294118,0.7794117647058824,0.9117647058823529,0.9294117647058824,0.8235294117647058,0.9411764705882353,0.7764705882352941,0.9764705882352941,1.0,0.9735294117647059,0.7909090909090909,0.788235294117647,,,1.0,,0.8147058823529412,0.6294117647058823,0.6529411764705882
sentence-transformers/sentence-t5-xl,0.6794117647058824,0.6794117647058824,0.6794117647058824,0.6970588235294117,0.7264705882352941,0.6970588235294117,0.6970588235294117,0.6794117647058824,0.8,0.7294117647058823,0.7941176470588235,0.8529411764705882,0.9852941176470589,0.3941176470588235,0.42058823529411765,0.4117647058823529,0.47352941176470587,0.9382352941176471,0.9352941176470588,0.9352941176470588,0.8441176470588235,0.47352941176470587,0.8794117647058823,0.8558823529411764,0.8647058823529412,0.9117647058823529,0.888235294117647,0.861764705882353,0.9176470588235294,0.9735294117647059,1.0,0.9,0.8705882352941177,,,1.0,,0.888235294117647,0.5117647058823529,0.5147058823529411
sentence-transformers/sentence-t5-xxl,0.5181818181818182,0.5181818181818182,0.5181818181818182,0.5,0.5636363636363636,0.5,0.5,0.5181818181818182,0.5909090909090909,0.5818181818181818,0.6090909090909091,0.7,0.8818181818181818,0.13636363636363635,0.19090909090909092,0.14545454545454545,0.24545454545454545,0.9818181818181818,0.990909090909091,0.9818181818181818,0.5909090909090909,0.3,0.9090909090909091,0.7181818181818181,0.6636363636363637,0.9545454545454546,0.6818181818181818,0.9636363636363636,0.7090909090909091,0.7909090909090909,0.9,1.0,0.9363636363636364,,,1.0,,0.9636363636363636,0.2818181818181818,0.2636363636363636
shibing624/text2vec-base-multilingual,0.5624355005159959,0.5624355005159959,0.5541795665634675,0.564499484004128,0.5851393188854489,0.564499484004128,0.564499484004128,0.5624355005159959,0.6057791537667698,0.5397316821465429,0.5913312693498453,0.6718266253869969,0.8452012383900929,0.32301341589267285,0.347781217750258,0.3560371517027864,0.4055727554179567,0.9442724458204335,0.9484004127966976,0.9256965944272446,0.5764705882352941,0.42401960784313725,0.9463364293085655,0.6800825593395253,0.6388028895768834,0.9525283797729618,0.6656346749226006,0.9711042311661506,0.6676470588235294,0.788235294117647,0.8705882352941177,0.9363636363636364,1.0,,,0.9642857142857143,,0.9236326109391125,0.40763673890608876,0.3973168214654283
text-embedding-ada-002,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
voyage-01,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
voyage-02,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.65,0.65,0.5666666666666667,0.65,0.9285714285714286,0.9166666666666666,0.47619047619047616,0.5952380952380952,0.5666666666666667,0.7142857142857143,0.9285714285714286,0.8571428571428571,0.9666666666666667,0.7,0.5357142857142857,0.7833333333333333,1.0,0.9285714285714286,0.8928571428571429,0.9833333333333333,0.9642857142857143,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,0.9666666666666667,0.45,0.5166666666666667
voyage-lite-01,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vprelovac/universal-sentence-encoder-multilingual-3,0.5314757481940144,0.5314757481940144,0.5232198142414861,0.5521155830753354,0.5768833849329206,0.5521155830753354,0.5521155830753354,0.5558441558441558,0.6415584415584416,0.5337662337662338,0.5974025974025974,0.6573787409700722,0.9012987012987013,0.14385964912280702,0.34385964912280703,0.43116883116883115,0.34365325077399383,0.9504643962848297,0.9401444788441693,0.9597402597402598,0.6264705882352941,0.28586171310629516,0.948051948051948,0.6986584107327142,0.7052631578947368,0.9649122807017544,0.7571428571428571,0.9318885448916409,0.7147058823529412,0.8147058823529412,0.888235294117647,0.9636363636363636,0.9236326109391125,1.0,1.0,0.9666666666666667,1.0,1.0,0.42597402597402595,0.45194805194805193
xlm-roberta-base,0.6965944272445821,0.6965944272445821,0.7027863777089783,0.7131062951496389,0.737874097007224,0.7131062951496389,0.7131062951496389,0.8077922077922078,0.8350649350649351,0.9090909090909091,0.8454545454545455,0.7110423116615067,0.5233766233766234,0.775438596491228,0.9315789473684211,0.8948051948051948,0.9318885448916409,0.5211558307533539,0.49226006191950467,0.535064935064935,0.7676470588235295,0.9463364293085655,0.4883116883116883,0.7275541795665634,0.5754385964912281,0.35810113519091846,0.625974025974026,0.3828689370485036,0.7029411764705882,0.6294117647058823,0.5117647058823529,0.2818181818181818,0.40763673890608876,1.0,1.0,0.45,1.0,0.42597402597402595,1.0,0.9701298701298702
xlm-roberta-large,0.6862745098039216,0.6862745098039216,0.6924664602683178,0.7027863777089783,0.7234262125902993,0.7027863777089783,0.7027863777089783,0.7987012987012987,0.8558441558441559,0.8857142857142857,0.8272727272727273,0.7069143446852425,0.5883116883116883,0.7614035087719299,0.9631578947368421,0.9337662337662338,0.9442724458204335,0.5170278637770898,0.47368421052631576,0.5662337662337662,0.7588235294117647,0.9401444788441693,0.4857142857142857,0.7027863777089783,0.6526315789473685,0.347781217750258,0.6909090909090909,0.36016511867905054,0.7235294117647059,0.6529411764705882,0.5147058823529411,0.2636363636363636,0.3973168214654283,1.0,1.0,0.5166666666666667,1.0,0.45194805194805193,0.9701298701298702,1.0
