model,Geotrend/bert-base-10lang-cased,Geotrend/bert-base-15lang-cased,Geotrend/bert-base-25lang-cased,Geotrend/distilbert-base-25lang-cased,Geotrend/distilbert-base-en-fr-cased,Geotrend/distilbert-base-en-fr-es-pt-it-cased,Geotrend/distilbert-base-fr-cased,Wissam42/sentence-croissant-llm-base,bert-base-multilingual-cased,bert-base-multilingual-uncased,camembert/camembert-base,camembert/camembert-large,dangvantuan/sentence-camembert-base,dangvantuan/sentence-camembert-large,distilbert-base-uncased,embed-multilingual-light-v3.0,embed-multilingual-v3.0,flaubert/flaubert_base_cased,flaubert/flaubert_base_uncased,flaubert/flaubert_large_cased,intfloat/e5-mistral-7b-instruct,intfloat/multilingual-e5-base,intfloat/multilingual-e5-large,intfloat/multilingual-e5-small,izhx/udever-bloom-1b1,izhx/udever-bloom-560m,laser2,sentence-transformers/LaBSE,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/distiluse-base-multilingual-cased-v2,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-transformers/sentence-t5-base,sentence-transformers/sentence-t5-large,sentence-transformers/sentence-t5-xl,sentence-transformers/sentence-t5-xxl,shibing624/text2vec-base-multilingual,text-embedding-ada-002,voyage-2,voyage-code-2,vprelovac/universal-sentence-encoder-multilingual-3,vprelovac/universal-sentence-encoder-multilingual-large-3,xlm-roberta-base,xlm-roberta-large
Geotrend/bert-base-10lang-cased,1.0,1.0,0.9993162393162394,0.9808547008547008,0.9788034188034188,0.9801709401709402,0.9794871794871794,0.7991109708175347,0.9993162393162394,0.9664957264957265,0.736068376068376,0.8365811965811966,0.8475213675213675,0.8147008547008547,0.6095726495726496,0.7751752549607835,0.7967843124128035,0.7121367521367521,0.6246153846153846,0.6444444444444445,0.764102564102564,0.7785946429403194,0.7488883039380106,0.770783622097916,0.8639316239316239,0.827008547008547,0.8474172356575844,0.8043108280302709,0.8126495726495726,0.777094017094017,0.7947316263353124,0.7333333333333333,0.8263247863247863,0.8131304615336318,0.824957264957265,0.8215384615384616,0.8021884199991169,0.747008547008547,0.8181196581196581,0.73,0.7996581196581196,0.775042735042735,0.7913104828728271,0.807047742800259,0.8564102564102564,0.788034188034188
Geotrend/bert-base-15lang-cased,1.0,1.0,0.9993162393162394,0.9808547008547008,0.9788034188034188,0.9801709401709402,0.9794871794871794,0.7991109708175347,0.9993162393162394,0.9664957264957265,0.736068376068376,0.8365811965811966,0.8475213675213675,0.8147008547008547,0.6095726495726496,0.7751752549607835,0.7967843124128035,0.7121367521367521,0.6246153846153846,0.6444444444444445,0.764102564102564,0.7785946429403194,0.7488883039380106,0.770783622097916,0.8639316239316239,0.827008547008547,0.8474172356575844,0.8043108280302709,0.8126495726495726,0.777094017094017,0.7947316263353124,0.7333333333333333,0.8263247863247863,0.8131304615336318,0.824957264957265,0.8215384615384616,0.8021884199991169,0.747008547008547,0.8181196581196581,0.73,0.7996581196581196,0.775042735042735,0.7913104828728271,0.807047742800259,0.8564102564102564,0.788034188034188
Geotrend/bert-base-25lang-cased,0.9993162393162394,0.9993162393162394,1.0,0.9822222222222222,0.9794871794871794,0.9808547008547008,0.9808547008547008,0.7936399500502773,0.997948717948718,0.9651282051282051,0.7374358974358974,0.8386324786324786,0.8427350427350427,0.8085470085470086,0.6075213675213675,0.7697042341935262,0.7913104828728271,0.7107692307692308,0.6232478632478633,0.6437606837606837,0.76,0.7724397445771548,0.7420460170130403,0.7646255638654426,0.8632478632478633,0.8276923076923077,0.8460487782725904,0.8008896845677858,0.8085470085470086,0.775042735042735,0.7906262541803301,0.7285470085470086,0.8229059829059829,0.8069755631704673,0.8201709401709402,0.8160683760683761,0.7953496440400453,0.7401709401709402,0.8153846153846154,0.7223076923076923,0.7935042735042735,0.7688888888888888,0.7878893394103419,0.8008896845677858,0.8591452991452991,0.79008547008547
Geotrend/distilbert-base-25lang-cased,0.9808547008547008,0.9808547008547008,0.9822222222222222,1.0,0.9986324786324786,0.9993162393162394,0.9972649572649572,0.7570524986692434,0.9801709401709402,0.9425641025641026,0.7661538461538462,0.8611965811965812,0.8386324786324786,0.7825641025641026,0.6321367521367521,0.7426910691551927,0.7406775596280462,0.7415384615384616,0.6588034188034187,0.6649572649572649,0.7921367521367522,0.7180714757025344,0.68662349292078,0.7105714971581764,0.8905982905982905,0.8495726495726496,0.7851524246403537,0.7427302457055373,0.8386324786324786,0.8147008547008547,0.7372564161655609,0.7668376068376068,0.7688888888888888,0.7512395391040324,0.8023931623931624,0.7805128205128206,0.7550008658815218,0.6875213675213675,0.7606837606837606,0.67,0.8105982905982906,0.7545299145299146,0.7420460170130403,0.7440987030905314,0.8652991452991453,0.8133333333333334
Geotrend/distilbert-base-en-fr-cased,0.9788034188034188,0.9788034188034188,0.9794871794871794,0.9986324786324786,1.0,0.9993162393162394,0.9958974358974358,0.7707300505873869,0.9794871794871794,0.945982905982906,0.7743589743589744,0.8673504273504273,0.8509401709401709,0.7955555555555556,0.6294017094017094,0.7577363762651506,0.7523094474004959,0.7504273504273504,0.6656410256410257,0.6629059829059829,0.8044444444444444,0.7310651500247707,0.7009922954632178,0.7242560710081172,0.9001709401709401,0.8557264957264957,0.7988369984902945,0.7570990482479751,0.8509401709401709,0.8290598290598291,0.7516252187079988,0.7832478632478632,0.7805128205128206,0.7628654582344544,0.8147008547008547,0.7928205128205128,0.7686784177996654,0.6991452991452991,0.7757264957264958,0.6784615384615384,0.8208547008547008,0.7647863247863248,0.755046362170484,0.7570990482479751,0.8741880341880341,0.8181196581196581
Geotrend/distilbert-base-en-fr-es-pt-it-cased,0.9801709401709402,0.9801709401709402,0.9808547008547008,0.9993162393162394,0.9993162393162394,1.0,0.9965811965811966,0.7611557642446865,0.9808547008547008,0.9405128205128205,0.7668376068376068,0.8618803418803419,0.8441025641025641,0.788034188034188,0.6335042735042735,0.7454265795388214,0.7434144743980343,0.7401709401709402,0.6567521367521367,0.6560683760683761,0.7928205128205128,0.7221747412779774,0.6914130937682592,0.7139926406206616,0.8885470085470085,0.8468376068376068,0.7906262541803301,0.7468356178605196,0.8420512820512821,0.8188034188034188,0.7434144743980343,0.770940170940171,0.7757264957264958,0.7580783150631042,0.8051282051282052,0.7846153846153846,0.7604718866487793,0.692991452991453,0.7675213675213676,0.6730769230769231,0.8147008547008547,0.757948717948718,0.7461513891680225,0.7509409900155017,0.8639316239316239,0.80991452991453
Geotrend/distilbert-base-fr-cased,0.9794871794871794,0.9794871794871794,0.9808547008547008,0.9972649572649572,0.9958974358974358,0.9965811965811966,1.0,0.7508976003060788,0.9788034188034188,0.9411965811965812,0.7866666666666666,0.8748717948717949,0.8304273504273504,0.7757264957264958,0.6594871794871795,0.7365361707920282,0.7352037300880698,0.7552136752136752,0.6724786324786325,0.6882051282051282,0.8085470085470086,0.7091810669557411,0.6756758338408273,0.7009922954632178,0.8947008547008547,0.8564102564102564,0.7783101377153834,0.7358879587805669,0.84,0.8188034188034188,0.7304141292405906,0.7764102564102564,0.762051282051282,0.7444007631449606,0.7996581196581196,0.7777777777777778,0.7502137227101716,0.6806837606837607,0.7538461538461538,0.6623076923076923,0.8051282051282052,0.749059829059829,0.737940644858058,0.7358879587805669,0.8639316239316239,0.8147008547008547
Wissam42/sentence-croissant-llm-base,0.7991109708175347,0.7991109708175347,0.7936399500502773,0.7570524986692434,0.7707300505873869,0.7611557642446865,0.7508976003060788,1.0,0.8032142363929777,0.8777568943468599,0.5310309532219218,0.6489998385159097,0.9283638364439909,0.9789707785411219,0.3217644088743261,0.9753761969904241,0.9871686501300482,0.6004445292065002,0.5436826887462046,0.38810053567732217,0.80629168557456,0.9870041039671683,0.9748504278060683,0.984431267391386,0.8374081161883365,0.6876389226846651,0.8927289456462031,0.9659539339054163,0.8541631172880624,0.8257821970579146,0.9769034648600651,0.8298854626333576,0.9574286342700459,0.9656292749658003,0.9752094517636324,0.9827321053186113,0.9844391244870041,0.9693964921984214,0.9358864899989698,0.9563377749515759,0.8951957730424929,0.946486592735531,0.9755347734907339,0.9680069709594129,0.7283296396411421,0.6411352461629771
bert-base-multilingual-cased,0.9993162393162394,0.9993162393162394,0.997948717948718,0.9801709401709402,0.9794871794871794,0.9808547008547008,0.9788034188034188,0.8032142363929777,1.0,0.9644444444444444,0.7367521367521368,0.8372649572649573,0.852991452991453,0.8201709401709402,0.610940170940171,0.7779107653444123,0.7995212271827916,0.7107692307692308,0.6225641025641026,0.6355555555555555,0.7647863247863248,0.7826979085157625,0.7536779047854899,0.7742047655604012,0.8618803418803419,0.8242735042735043,0.8528910651975607,0.8084162001852532,0.8160683760683761,0.7811965811965812,0.8008896845677858,0.7374358974358974,0.8331623931623932,0.8199692374927036,0.8276923076923077,0.8256410256410256,0.8076594407663744,0.7524786324786324,0.824957264957265,0.7330769230769231,0.8037606837606838,0.7784615384615384,0.7954158550278094,0.8138900297252295,0.8550427350427351,0.7846153846153846
bert-base-multilingual-uncased,0.9664957264957265,0.9664957264957265,0.9651282051282051,0.9425641025641026,0.945982905982906,0.9405128205128205,0.9411965811965812,0.8777568943468599,0.9644444444444444,1.0,0.718974358974359,0.8283760683760684,0.8858119658119659,0.8782905982905983,0.5466666666666666,0.8716019959836953,0.8747863833574661,0.7668376068376068,0.6745299145299145,0.6574358974358975,0.8345299145299145,0.858608321661459,0.8275746035751703,0.8597333521225312,0.9254700854700855,0.8488888888888889,0.8816286702824365,0.8775232981274542,0.8482051282051282,0.8229059829059829,0.8597333521225312,0.803076923076923,0.8618803418803419,0.8603180156512269,0.9008547008547009,0.8933333333333333,0.872627812377556,0.8160683760683761,0.8687179487179487,0.806923076923077,0.8482051282051282,0.8393162393162393,0.8652071816625075,0.8645229529700105,0.8810256410256411,0.8235897435897436
camembert/camembert-base,0.736068376068376,0.736068376068376,0.7374358974358974,0.7661538461538462,0.7743589743589744,0.7668376068376068,0.7866666666666666,0.5310309532219218,0.7367521367521368,0.718974358974359,1.0,0.935042735042735,0.6321367521367521,0.5603418803418804,0.8646153846153846,0.5453923827359726,0.5100924902565436,0.7777777777777778,0.8003418803418804,0.8454700854700855,0.772991452991453,0.4920499302552128,0.46561762524423594,0.4772495130166856,0.7517948717948718,0.8092307692307692,0.5798838168912417,0.5265139788764726,0.7162393162393162,0.7675213675213676,0.5114609476415376,0.7408547008547008,0.532991452991453,0.5088049313549386,0.5993162393162393,0.556923076923077,0.530005136828061,0.4358974358974359,0.5466666666666666,0.39615384615384613,0.556923076923077,0.49675213675213675,0.49093408686662643,0.47588105563169153,0.7586324786324786,0.8181196581196581
camembert/camembert-large,0.8365811965811966,0.8365811965811966,0.8386324786324786,0.8611965811965812,0.8673504273504273,0.8618803418803419,0.8748717948717949,0.6489998385159097,0.8372649572649573,0.8283760683760684,0.935042735042735,1.0,0.7073504273504273,0.6629059829059829,0.8181196581196581,0.6353222865977661,0.6120425654386026,0.7613675213675214,0.7791452991452992,0.7647863247863248,0.8352136752136752,0.599760651610593,0.5600411848088275,0.585357646431218,0.8331623931623932,0.8194871794871795,0.6606228026058925,0.6277798253660345,0.80991452991453,0.8311111111111111,0.6120425654386026,0.7948717948717948,0.6348717948717949,0.609676876751247,0.6902564102564103,0.6601709401709401,0.6305351434264159,0.5446153846153846,0.6362393162393163,0.5176923076923077,0.6895726495726495,0.6198290598290598,0.6175163949785789,0.618200623671076,0.770940170940171,0.8215384615384616
dangvantuan/sentence-camembert-base,0.8475213675213675,0.8475213675213675,0.8427350427350427,0.8386324786324786,0.8509401709401709,0.8441025641025641,0.8304273504273504,0.9283638364439909,0.852991452991453,0.8858119658119659,0.6321367521367521,0.7073504273504273,1.0,0.9733333333333334,0.4379487179487179,0.9317832244235268,0.9233666205247559,0.6861538461538461,0.6273504273504273,0.4947008547008547,0.8345299145299145,0.920841182889012,0.9213139344472648,0.9103662753673122,0.8598290598290599,0.7675213675213676,0.8542595225825549,0.8918921006698921,0.9117948717948718,0.8926495726495727,0.9158401049072885,0.8878632478632479,0.9282051282051282,0.9437510823519023,0.9487179487179487,0.9452991452991453,0.9451188375437167,0.9158974358974359,0.9193162393162393,0.8984615384615384,0.935042735042735,0.9466666666666667,0.8946290154398803,0.890523643284898,0.7668376068376068,0.6991452991452991
dangvantuan/sentence-camembert-large,0.8147008547008547,0.8147008547008547,0.8085470085470086,0.7825641025641026,0.7955555555555556,0.788034188034188,0.7757264957264958,0.9789707785411219,0.8201709401709402,0.8782905982905983,0.5603418803418804,0.6629059829059829,0.9733333333333334,1.0,0.35863247863247866,0.9741836353697716,0.974683772462034,0.6300854700854701,0.5637606837606838,0.4147008547008547,0.8215384615384616,0.9734997577738644,0.9678414855370635,0.9644203420745784,0.8427350427350427,0.7066666666666667,0.8672598677399986,0.940472337837182,0.8823931623931623,0.8687179487179487,0.9637361133820813,0.865982905982906,0.9555555555555556,0.9758933293595395,0.9794871794871794,0.9822222222222222,0.9820482277227042,0.9664957264957265,0.9364102564102564,0.9561538461538461,0.9268376068376069,0.9644444444444444,0.9527884543021287,0.9486830821471465,0.7230769230769231,0.6485470085470085
distilbert-base-uncased,0.6095726495726496,0.6095726495726496,0.6075213675213675,0.6321367521367521,0.6294017094017094,0.6335042735042735,0.6594871794871795,0.3217644088743261,0.610940170940171,0.5466666666666666,0.8646153846153846,0.8181196581196581,0.4379487179487179,0.35863247863247866,1.0,0.3217644088743261,0.296613138197467,0.7087179487179487,0.7832478632478632,0.814017094017094,0.6335042735042735,0.29919644820938934,0.2548751879551475,0.279507420885041,0.5261538461538462,0.6895726495726495,0.3609306352921888,0.2849812504250173,0.5302564102564102,0.5555555555555556,0.29113930865749066,0.5617094017094018,0.3558974358974359,0.3371516547822376,0.39076923076923076,0.36615384615384616,0.3357838995904232,0.27384615384615385,0.3476923076923077,0.22538461538461538,0.39418803418803416,0.3128205128205128,0.2658228470351002,0.2952446808124729,0.5835897435897436,0.7032478632478633
embed-multilingual-light-v3.0,0.7751752549607835,0.7751752549607835,0.7697042341935262,0.7426910691551927,0.7577363762651506,0.7454265795388214,0.7365361707920282,0.9753761969904241,0.7779107653444123,0.8716019959836953,0.5453923827359726,0.6353222865977661,0.9317832244235268,0.9741836353697716,0.3217644088743261,1.0,0.9789565019140617,0.6770388199481039,0.6018122843983146,0.44486237613761775,0.8206531150886107,0.9726402188782489,0.960479168428092,0.9666382795900819,0.858608321661459,0.7382458647817961,0.8502995131969393,0.9365270694647979,0.8664729140143915,0.8551889336819231,0.9508983288427744,0.8681826080041595,0.9225508768787799,0.9437414500683995,0.9861514932981472,0.9861514932981472,0.975547195622435,0.9543511850884635,0.9194734276971976,0.9355645489469963,0.903402304193379,0.9471704703314382,0.9481609461041122,0.9248931928254837,0.7679945402037582,0.702684229794623
embed-multilingual-v3.0,0.7967843124128035,0.7967843124128035,0.7913104828728271,0.7406775596280462,0.7523094474004959,0.7434144743980343,0.7352037300880698,0.9871686501300482,0.7995212271827916,0.8747863833574661,0.5100924902565436,0.6120425654386026,0.9233666205247559,0.974683772462034,0.296613138197467,0.9789565019140617,1.0,0.5805680455837388,0.5141978624115258,0.3869313256070763,0.7735205368679041,0.9912747242380414,0.984936665525505,0.9808284833960972,0.8145742584177266,0.6674650895308628,0.9007189318726464,0.968503937007874,0.838522262655123,0.8091004288777502,0.9828825744608011,0.8159427158027206,0.9589465125346021,0.9727973907520717,0.9678414855370635,0.9876841176194777,0.990590378553376,0.9828945167719985,0.9425250239146731,0.967667723222834,0.8829971276674305,0.9514199969171346,0.9746662102019856,0.9657651489216021,0.7187822414681408,0.6312009688285197
flaubert/flaubert_base_cased,0.7121367521367521,0.7121367521367521,0.7107692307692308,0.7415384615384616,0.7504273504273504,0.7401709401709402,0.7552136752136752,0.6004445292065002,0.7107692307692308,0.7668376068376068,0.7777777777777778,0.7613675213675214,0.6861538461538461,0.6300854700854701,0.7087179487179487,0.6770388199481039,0.5805680455837388,1.0,0.9398290598290598,0.8639316239316239,0.7935042735042735,0.576508813349749,0.5313035797239518,0.5887787898937032,0.8058119658119658,0.9596581196581196,0.5456723822663897,0.551146211806366,0.7176068376068376,0.7442735042735042,0.5429354674964015,0.7606837606837606,0.5596581196581196,0.570695853784538,0.705982905982906,0.6608547008547009,0.6093349379532934,0.522051282051282,0.6,0.48846153846153845,0.6608547008547009,0.5917948717948718,0.5456723822663897,0.499829059869088,0.8858119658119659,0.9268376068376069
flaubert/flaubert_base_uncased,0.6246153846153846,0.6246153846153846,0.6232478632478633,0.6588034188034187,0.6656410256410257,0.6567521367521367,0.6724786324786325,0.5436826887462046,0.6225641025641026,0.6745299145299145,0.8003418803418804,0.7791452991452992,0.6273504273504273,0.5637606837606838,0.7832478632478632,0.6018122843983146,0.5141978624115258,0.9398290598290598,1.0,0.8714529914529915,0.7483760683760684,0.5231663608689894,0.47451259824669745,0.5237770641064844,0.7107692307692308,0.9083760683760683,0.47382836955420043,0.47588105563169153,0.7094017094017094,0.7155555555555555,0.4751968269391945,0.7456410256410256,0.5076923076923077,0.5060694209713099,0.6328205128205128,0.5965811965811966,0.5529150362909515,0.4728205128205128,0.5241025641025641,0.43846153846153846,0.6095726495726496,0.55008547008547,0.47109145478421227,0.4293535045418928,0.8023931623931624,0.9131623931623931
flaubert/flaubert_large_cased,0.6444444444444445,0.6444444444444445,0.6437606837606837,0.6649572649572649,0.6629059829059829,0.6560683760683761,0.6882051282051282,0.38810053567732217,0.6355555555555555,0.6574358974358975,0.8454700854700855,0.7647863247863248,0.4947008547008547,0.4147008547008547,0.814017094017094,0.44486237613761775,0.3869313256070763,0.8639316239316239,0.8714529914529915,1.0,0.6724786324786325,0.36895196299192123,0.3260349719748397,0.382141724759597,0.6690598290598291,0.8441025641025641,0.4211427602319283,0.37872058129711184,0.5835897435897436,0.5883760683760684,0.34724606144224796,0.612991452991453,0.37094017094017095,0.36279706462875666,0.49811965811965814,0.4495726495726496,0.4120362515340733,0.31555555555555553,0.4099145299145299,0.30538461538461537,0.4605128205128205,0.40102564102564103,0.3561410344447095,0.31440308420239005,0.7524786324786324,0.8358974358974359
intfloat/e5-mistral-7b-instruct,0.764102564102564,0.764102564102564,0.76,0.7921367521367522,0.8044444444444444,0.7928205128205128,0.8085470085470086,0.80629168557456,0.7647863247863248,0.8345299145299145,0.772991452991453,0.8352136752136752,0.8345299145299145,0.8215384615384616,0.6335042735042735,0.8206531150886107,0.7735205368679041,0.7935042735042735,0.7483760683760684,0.6724786324786325,1.0,0.7440588243470071,0.721519156238129,0.7482040752455136,0.9357264957264957,0.803076923076923,0.6654124034533717,0.7331510440105787,0.8878632478632479,0.9145299145299145,0.7338352727030758,0.9398290598290598,0.7073504273504273,0.725936068055467,0.8543589743589743,0.8126495726495726,0.7919302560605094,0.7299145299145299,0.7100854700854701,0.7092307692307692,0.8468376068376068,0.8037606837606838,0.7482040752455136,0.7208349275456319,0.7326495726495726,0.7401709401709402
intfloat/multilingual-e5-base,0.7785946429403194,0.7785946429403194,0.7724397445771548,0.7180714757025344,0.7310651500247707,0.7221747412779774,0.7091810669557411,0.9870041039671683,0.7826979085157625,0.858608321661459,0.4920499302552128,0.599760651610593,0.920841182889012,0.9734997577738644,0.29919644820938934,0.9726402188782489,0.9912747242380414,0.576508813349749,0.5231663608689894,0.36895196299192123,0.7440588243470071,1.0,0.9926434156073726,0.9885373414993793,0.7813301533239482,0.6595999412524709,0.8975193654388618,0.9625322054820886,0.822020870280425,0.7840656637075768,0.9796408475987272,0.7936399500502773,0.965635165420932,0.9799931600547196,0.958112511865953,0.9806804725308899,0.9858071135430917,0.983074044116565,0.9468285315334847,0.9601846686561277,0.8746794451652776,0.9410155719682737,0.9659539339054163,0.9680069709594129,0.7098649445516483,0.6233544286693906
